EmployeeID,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,ShiftSchedule,State,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10011,-0.08293373,-0.0490073,0.03311007,-0.052101202,-0.09478303,-0.007782476,-0.056123074,0,-0.1064104,-0.018304191,0.007521467,0.020929618,0.0432193,0.17999235,0.024413457,-0.030506587,-0.08839417,0,0.21320413,-0.22477998,-0.009446865,-0.039822448,0.109180584,-0.19566646,0.056648355,0.011106705,-0.017621297,-0.00037693,-0.03299687,0.003732356,-0.042552404,-0.1206886
10012,-0.06172389,-0.18515602,0.004095465,-0.05518814,-0.06384585,-0.032672994,-0.0576218,0,-0.025946643,0.005258173,0.002254485,-0.058637552,0.057996158,0.1848182,-0.02720164,-0.034726974,0.14352998,0,-0.0609054,-0.24420954,-0.01478191,-0.010487453,-0.03590904,-0.16954514,0.043216765,0.07945791,-0.05251179,-0.043295406,0.060302585,0.016708538,-0.037952084,0.15256035
10013,0.006086625,-0.057510346,0.017782358,-0.002091397,-0.008151528,-0.028928073,-0.070992716,0,-0.042935897,-0.001535861,-0.046261877,-0.1075135,-0.054199718,0.08580826,-0.018051386,-0.05383366,-0.081447996,0,-0.16241534,-0.2116903,0.003037535,-0.017010944,-0.038787883,-0.16986902,0.09941696,-0.009015858,-0.046488337,-0.08097144,-0.02269726,0.007191021,-0.037359457,-0.110958286
10014,-0.012833886,0.24232314,-0.04495048,-0.039829414,-0.13399583,-0.03490474,-0.05180499,0,-0.05324054,0.007203105,-0.053840574,-0.07226903,-0.004706614,0.229903,-0.16721919,0.093232855,0.025835803,0,-0.17277859,-0.21256,-0.014518047,0.032622475,-0.02494878,0.16552198,0.03310259,-0.006922458,-0.044399023,-0.036111318,-0.07482713,-0.02547035,0.004949656,-0.036002852
10015,-0.03539075,-0.023600563,0.014274292,0.015461749,-0.13807267,0.007919716,0.052944936,0,-0.07243032,0.010287532,-0.026790844,-0.1069174,-0.057507705,0.11004598,0.006494667,-0.04596951,-0.014497127,0,-0.070441306,-0.1884173,0.005977613,-0.003479722,-0.022944778,0.12610735,0.10187934,-0.028295247,-0.055819273,-0.04908381,-0.013704571,0.011743998,-0.039382514,-0.05454973
10016,-0.06769659,0.2730666,-0.09002195,0.14299703,-0.11656535,-0.02949709,0.007657548,0,-0.020471387,-0.011092474,-0.07844609,-0.13335894,-0.09350628,0.09132763,-0.15758057,-0.101115845,-0.09927501,0,-0.09700005,0.37546822,-0.007607388,-0.015043857,-0.058792822,-0.16870922,0.007996662,-0.015009849,-0.061659828,-0.08111249,-0.06798598,-0.03252564,-0.05361276,-0.07323458
10017,0.032756243,-0.056622203,-0.041419633,0.033862498,0.07499959,0.00651649,-0.001444152,0,-0.017231325,0.011716776,-0.031034611,-0.0791608,0.012793205,0.24128623,-0.015913002,-0.008178841,0.07323987,0,-0.059043445,0.47852385,0.007067828,0.018787678,-0.020648753,-0.13477677,-0.06764247,-0.02918435,-0.000819824,-0.052891638,0.001938878,-0.040052276,0.04180091,-0.056177948
10018,0.03815595,-0.0907517,0.00557465,-0.06971604,0.101155385,-0.00026479,-0.09795591,0,0.11983058,-0.005363626,0.038246516,0.019916095,0.056709416,-0.1629718,0.011006038,-0.1176978,-0.05622316,0,-0.04316176,-0.3864054,-0.020791544,-0.018035049,-0.027322426,-0.15616882,-0.04127752,0.000515739,0.002697019,0.016103515,-0.029924538,0.001456664,0.047745258,0.02494029
10019,0.015292387,-0.050396997,-0.1124974,-0.05931256,0.11219281,0.00386202,-0.08426389,0,0.01628023,-0.020205846,0.006984365,-0.04951184,-0.008707657,-0.3924962,0.06503862,-0.11849623,-0.049199186,0,-0.05790355,-0.27747768,0.022683022,-0.013256131,-0.055848718,-0.1888346,-0.05077228,-0.029389564,0.012518345,-0.061639547,-0.032570057,-0.034546662,0.14669338,-0.09081074
10020,-0.054735478,-0.06350574,-0.05480331,0.018860407,-0.013074483,-0.036910582,0.12652773,0,0.061792843,-0.016456215,-0.026493289,-0.027119944,0.043650716,0.063118175,-0.032929983,-0.024165485,0.037012216,0,-0.057374936,-0.2085571,-0.020860966,-0.008944517,-0.028881822,0.15605184,-0.014518363,0.03620208,0.01299118,-0.067023955,0.01237541,-0.000986322,-0.009480921,0.012754601
10021,-0.04671112,-0.04050548,-0.09593706,-0.001339636,-0.09230842,0.001529607,-0.07336825,0,0.011746522,-0.018828316,-0.048674233,-0.06914052,-0.040532522,-0.30162853,-0.11055468,-0.08265457,-0.09607752,0,-0.062016826,-0.21844965,-0.012942891,-0.002358029,-0.013051212,0.10579715,-0.012634692,-0.03951115,-0.03614771,-0.05830107,-0.010490817,-0.025172237,0.039769307,0.020449195
10022,-0.053907976,-0.042307865,-0.050246026,-0.06907924,-0.08593283,-0.04254512,-0.07806881,0,-0.025941204,-0.026562212,-0.067661636,-0.09356708,-0.05146589,-0.33667844,-0.11492878,-0.02653872,-0.05175516,0,-0.07520935,-0.2769349,-0.009759145,-0.016131189,-0.028891167,0.118996695,-0.023167664,-0.025808904,-0.08536076,-0.08018902,-0.060158662,-0.015417717,0.15890367,-0.007088959
10023,-0.011045083,-0.05060298,-0.012827692,-0.056097656,-0.13823391,-0.03292619,-0.08281476,0,-0.012424751,-0.022318777,-0.04805418,-0.07134478,-0.029320475,-0.35936353,0.05024316,-0.093506806,-0.025921682,0,-0.08279139,-0.2516301,0.019633736,0.012422618,-0.047398746,0.13351382,-0.025756296,-0.037941806,-0.052721187,-0.07565844,-0.049008094,-0.013774659,-0.06264883,-0.031864904
10024,-0.10713779,-0.04421426,0.034896795,-0.018819673,-0.11391577,-0.035690255,0.06799977,0,-0.060143642,0.01845397,-0.05196218,-0.05276568,-0.01772932,-0.24570818,-0.030029811,-0.08544774,-0.115715235,0,-0.063785076,-0.19868857,0.006680127,-0.005637691,-0.046947386,-0.1332589,-0.014612684,-0.038446706,-0.021726252,-0.076680615,-0.01373372,-0.015705142,-0.034321453,-0.14329025
10025,-0.12924176,0.28299436,0.064923905,0.015252123,-0.103377946,-0.002772203,0.043096244,0,0.23627464,-0.027590552,-0.01917902,-0.0357657,-0.031806823,0.07030837,0.04394163,-0.048750784,-0.10364651,0,0.1387296,-0.16913678,0.010007236,-0.025036925,-0.002472704,-0.14978248,0.024734274,-0.013422278,-0.014597093,0.011139936,0.074212976,0.028747657,-0.026567403,0.3813136
10026,-0.14216119,0.22193637,0.018302593,-0.046817575,-0.029156558,-0.034522966,-0.007990901,0,0.00352808,-0.024893897,-0.03431536,-0.07776974,-0.000190315,0.17466013,-0.1696517,0.100606844,-0.09415853,0,-0.053098913,-0.21891199,-0.018724298,-0.026844794,-0.032953206,0.07695797,0.008114744,-0.018556802,-0.026025034,-0.10058846,-0.042617474,-0.03591484,0.048310798,-0.046013553
10027,0.29941037,-0.029611811,0.07700052,0.069187574,-0.049413383,0.034698762,-0.01408203,0,0.13280062,-0.01701889,0.07312841,0.37759983,0.10278205,0.2835032,0.07703376,0.22337395,0.30329537,0,0.29416597,0.7026103,0.01421942,0.060539022,-0.03287969,0.24709305,0.011756029,0.043456837,0.042679712,0.08700468,-0.005422879,-0.004474281,0.046839945,0.052867386
10028,-0.072277255,-0.058443796,-0.07523007,-0.07253402,-0.07768495,-0.003921151,-0.07544143,0,-0.03858072,0.001427906,-0.05695559,-0.057365622,-0.008076955,-0.36040118,-0.027020251,-0.06814619,-0.04231865,0,-0.04998769,-0.20940442,-0.013005958,-0.032458782,-0.03508547,-0.14692274,-0.040619865,-0.028805159,-0.03720581,-0.060232107,-0.041522108,-0.017286016,-0.064091414,-0.023281924
10029,0.03195263,-0.18204725,0.04338811,-0.038669724,0.1261494,0.03024968,-0.015945582,0,0.076211266,0.002688382,0.06020149,0.2854846,0.06811096,0.25932765,0.06356644,0.11455862,-0.007595369,0,-0.017475221,-0.23635896,-0.011143579,0.013250464,-0.001317035,0.12775792,0.041124407,0.02272236,-0.03219086,0.019179115,0.005536099,0.007976931,-0.008945343,0.01279142
10030,-0.09762088,0.25368634,0.12066032,0.13219006,-0.036533795,0.003670453,0.012554216,0,-0.05102526,-0.016370907,0.007389671,-0.017495368,-0.019551787,0.11126253,0.025161257,-0.11386358,-0.086936705,0,0.20770965,0.40512162,0.005466005,-0.009373389,-0.037174072,-0.13077365,-0.003647496,-0.034459352,0.08152108,-0.006800898,-0.015335126,0.013908257,0.17419812,-0.13828872
10031,0.04193912,-0.036709838,0.065482974,0.13490793,0.19352247,0.005514255,0.003921556,0,0.053105205,-0.016772859,0.000563279,-0.001499246,-0.059295952,0.3928298,0.033032566,0.29375574,-0.037435044,0,-0.13219757,0.69272584,0.01066887,0.007584707,-0.019353792,0.23244388,0.086519875,-0.009009166,0.046840597,0.011392796,-0.02941149,-0.031564712,0.18427038,-0.08019968
10032,-0.10134516,0.25748867,-0.05714466,0.005492389,-0.14548607,0.003594006,-0.055196468,0,-0.08617234,-0.0058219,-0.03426378,-0.08880983,-0.0711667,0.06516452,0.103840195,-0.045920566,-0.11561269,0,-0.078960225,-0.18657614,-0.014960182,-0.030922703,0.13651566,-0.17242303,0.04291278,-0.027852884,-0.06984364,-0.020173065,-0.049575705,-0.00794082,-0.05899948,-0.080514416
